word_id,jp,ko,source,source_url,license,permission_status,attribution,captured_at,qa_status,sort_order,naver_example_id,naver_source_cid,naver_source_name,query,qa_note
w_008815ea901fd7ca,年上の女性と恋仲になる,연상의 여자와 사랑하는 사이가 되다,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E5%B9%B4%E4%B8%8A,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 교학사 일한사전,1787106475433,auto,0,66ff1bedeeb641cfb95aa8c3f9a83ff6,080004F6,교학사 일한사전,年上 연상 연장,auto-selected score=127 meaning_hits=1 target_match=surface; query=年上 연상 연장
w_029324ed8af6da1b,今日のプランは台なしになった.,오늘 계획은 완전히 멍들었다,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E3%83%97%E3%83%A9%E3%83%B3,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 한일사전,1787106456955,auto,0,7a92082b42d544178017fd29c3dbb0c1,881982a8,민중서림 엣센스 한일사전,プラン,auto-selected score=134 meaning_hits=1 target_match=surface; query=プラン
w_032a0c62cdb473fb,数式をかっこでくくる,수식을 괄호로 묶다,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E6%95%B0%E5%BC%8F,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 한일사전,1787106562085,auto,0,d268c22a13f04b91bfc4bdaed38c8c06,881982a8,민중서림 엣센스 한일사전,数式 수식,auto-selected score=129 meaning_hits=1 target_match=surface; query=数式 수식
w_0377fcb25325b843,父の名代で会合に出る,아버지의 대리인으로 회합에 나가다.,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E4%BC%9A%E5%90%88,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 일한사전,1787106480271,auto,0,7d7f0928d805409fa76136c94311ce86,081341B9,민중서림 엣센스 일한사전,会合 회합,auto-selected score=129 meaning_hits=1 target_match=surface; query=会合 회합
w_0426d9d6ce355d7e,事務を簡捷にする,(a)사무를 간결 민첩하게 처리하다; (b)사무를 간소화하다.,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E4%BA%8B%E5%8B%99,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 일한사전,1787106442472,auto,0,02e205982f884fcd978130c5e0cd546d,081341B9,민중서림 엣센스 일한사전,事務 사무,auto-selected score=129 meaning_hits=1 target_match=surface; query=事務 사무
w_0446723521e4de20,そのビジネスは衰退の途中にある.,그 사업은 사양길을 걷고 있다,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 한일사전,1787106578815,auto,0,060fc0014e8c4c78a92803ae775ffbfd,881982a8,민중서림 엣센스 한일사전,ビジネス,auto-selected score=134 meaning_hits=1 target_match=surface; query=ビジネス
w_0460db429f72be26,イントロダクションや本文の前半を読めば，なんとなくはわかるのだけれど，やっぱりよくはわからない,서문이나 본문의 전반을 읽으면 그런대로 알게 되것만 역시 잘 모르겠다.,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E5%89%8D%E5%8D%8A,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 외래어사전,1787106446764,auto,0,5b90eb1c2ef247c2827c1150cd44467b,8800047F,민중서림 엣센스 외래어사전,前半 전반,auto-selected score=134 meaning_hits=1 target_match=surface; query=前半 전반
w_053746c071b630d7,ボールをぽんと蹴る.,공을 뻥 차다,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E8%B9%B4%E3%82%8B,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 한일사전,1787106507064,auto,0,0ee6d441591849b0937065c38a8263fa,881982a8,민중서림 엣센스 한일사전,蹴る,auto-selected score=134 meaning_hits=1 target_match=surface; query=蹴る
w_055e00f614a87306,ユーザー生成コンテンツの著作権ガイドラインを策定する,유저 생성 콘텐츠의 저작권 가이드라인을 책정하다,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E8%91%97%E4%BD%9C%E6%A8%A9,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 일한사전,1787106589673,auto,0,2a55e0d103f44970bd2c5a6fa0dbf20a,081341B9,민중서림 엣센스 일한사전,著作権 저작권,auto-selected score=101 meaning_hits=1 target_match=surface; query=著作権 저작권
w_059edb30d5dd03f4,無言の[言わず語らずの]うちに了解ができて[ついて]いた.,무언중에 서로 양해가 되어 있었다,naver-ja-dict,https://ja.dict.naver.com/#/search?query=%E4%BA%86%E8%A7%A3,owner-confirmed-cleared,cleared,NAVER 일본어사전 · 민중서림 엣센스 한일사전,1787106588950,auto,0,4f08fd617dab480a8f9d9e88471d7f2c,881982a8,민중서림 엣센스 한일사전,了解 양해,auto-selected score=134 meaning_hits=1 target_match=surface; query=了解 양해
